company_name,ric_code,esg_score,environment_scores,social_scores,governance_scores,ranks,total_industries
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3.SA,51,40,64,53,15,38
Banco do Brasil SA,BBAS3.SA,77,84,85,61,67,996
Iochpe Maxion SA,MYPK3.SA,17,0,14,44,210,231
Companhia Brasileira de Distribuicao,PCAR3.SA,70,66,73,69,25,151
Bradespar SA,BRAP4.SA,21,14,27,24,36,54
Itausa SA,ITSA4.SA,59,16,84,43,214,996
Construtora Tenda SA,TEND3.SA,5,0,1,13,397,400
CPFL Energia SA,CPFE3.SA,69,82,59,60,46,263
YDUQS Participacoes SA,YDUQ3.SA,44,23,41,69,3,7
Iguatemi Empresa de Shopping Centers SA,IGTA3.SA,26,5,33,38,318,400
Terra Santa Agro SA,TESA3.SA,23,12,30,23,301,375
Minerva SA,BEEF3.SA,51,70,52,27,165,375
Telefonica Brasil SA,VIVT3.SA,58,49,51,78,75,263
MRV Engenharia e Participacoes SA,MRVE3.SA,66,55,77,63,68,400
Cyrela Brazil Realty SA Empreendimentos e Participacoes,CYRE3.SA,29,23,41,22,291,400
Engie Brasil Energia SA,EGIE3.SA,88,87,87,89,2,263
BR Malls Participacoes SA,BRML3.SA,37,20,45,46,241,400
M Dias Branco SA Industria e Comercio de Alimentos,MDIA3.SA,60,57,56,71,114,375
Klabin SA,KLBN4.SA,70,85,78,34,14,74
Petrobras Distribuidora SA,BRDT3.SA,71,47,80,90,25,401
CCR SA,CCRO3.SA,65,46,82,60,21,100
Cogna Educacao SA,COGN3.SA,58,46,40,83,7,31
Rumo SA,RAIL3.SA,54,66,61,31,58,175
CTEEP Companhia de Transmissao de Energia Eletrica Paulista,TRPL4.SA,41,23,59,49,160,263
Banco do Estado do Rio Grande do Sul SA,BRSR6.SA,25,3,28,30,818,996
Guararapes Confeccoes SA,GUAR3.SA,10,9,9,11,265,266
Raia Drogasil SA,RADL3.SA,58,57,57,59,51,151
Ultrapar Participacoes SA,UGPA3.SA,66,60,71,68,57,410
Gafisa SA,GFSA3.SA,41,6,43,81,85,157
Valid Solucoes SA,VLID3.SA,33,12,52,23,278,443
Totvs SA,TOTS3.SA,81,48,82,89,16,813
Sao Martinho SA,SMTO3.SA,51,58,49,48,164,375
Localiza Rent a Car SA,RENT3.SA,63,34,70,85,28,114
Porto Seguro SA,PSSA3.SA,35,17,44,32,203,305
Santos Brasil Participacoes SA,STBP3.SA,66,66,63,70,19,100
Companhia de Saneamento do Parana Sanepar,SAPR4.SA,42,48,41,34,22,38
Even Construtora e Incorporadora SA,EVEN3.SA,10,10,6,13,386,400
Grendene SA,GRND3.SA,21,32,20,17,105,118
PDG Realty SA Empreendimentos e Participacoes,PDGR3.SA,15,5,21,18,374,400
EZTEC Empreendimentos e Participacoes SA,EZTC3.SA,24,18,7,49,328,400
Eneva SA,ENEV3.SA,60,51,61,72,79,263
Cosan SA,CSAN3.SA,27,18,29,37,253,410
Diagnosticos da America SA,DASA3.SA,42,61,43,31,86,181
JBS SA,JBSS3.SA,79,90,72,78,28,375
Banco ABC Brasil SA,ABCB4.SA,14,0,11,24,958,996
B2W Companhia Digital,BTOW3.SA,69,80,52,78,14,111
MMX Mineracao e Metalicos SA Em Recuperacao Judicial,MMXM3.SA,7,0,1,29,541,555
Equatorial Energia SA,EQTL3.SA,42,21,72,41,157,263
Multiplan Empreendimentos Imobiliarios SA,MULT3.SA,56,67,53,51,125,400
Transmissora Alianca de Energia Eletrica SA,TAEE11.SA,39,25,46,51,176,263
Companhia de Saneamento de Minas Gerais Copasa MG,CSMG3.SA,8,0,11,18,38,38
Gem Diamonds Ltd,GEMD.L,53,39,42,90,200,555
Suzano SA,SUZB3.SA,70,62,84,68,15,74
Advantage Oil & Gas Ltd,AAV.TO,37,30,40,43,194,410
Cameco Corp,CCO.TO,84,90,93,70,1,15
ARC Resources Ltd,ARX.TO,49,37,45,75,144,410
Aecon Group Inc,ARE.TO,63,43,69,82,54,224
Linamar Corp,LNR.TO,46,61,44,30,122,231
Crombie Real Estate Investment Trust,CRR_u.TO,45,24,43,70,220,452
Wallbridge Mining Company Ltd,WM.TO,18,0,13,52,439,555
RF Capital Group Inc,RCG.TO,23,0,47,10,313,375
Equitable Group Inc,EQB.TO,55,17,47,80,255,996
Oppenheimer Holdings Inc,OPY,40,1,45,48,208,375
Dundee Corp,DCa.TO,13,8,15,13,343,375
Morneau Shepell Inc,MSI.TO,79,39,76,92,15,443
Great Canadian Gaming Corp,GC.TO,39,15,36,67,175,322
BCE Inc,BCE.TO,70,81,72,57,34,263
Bank of Nova Scotia,BNS.TO,81,96,90,62,43,996
Canadian National Railway Co,CNR.TO,78,72,82,78,7,175
Bank of Montreal,BMO.TO,86,96,93,72,17,996
Canadian Imperial Bank of Commerce,CM.TO,75,83,90,51,81,996
Canfor Corp,CFP.TO,52,70,38,36,30,74
Finning International Inc,FTT.TO,58,38,62,76,183,554
Canadian Utilities Ltd,CU.TO,30,22,27,49,38,44
Great-West Lifeco Inc,GWO.TO,51,38,50,56,128,305
Laurentian Bank of Canada,LB.TO,51,54,46,56,307,996
Loblaw Companies Ltd,L.TO,76,74,76,76,15,151
CCL Industries Inc,CCLb.TO,44,48,28,64,44,64
Enbridge Inc,ENB.TO,80,96,79,63,10,219
Canadian Tire Corporation Ltd,CTCa.TO,64,80,71,44,28,111
Methanex Corp,MX.TO,42,37,39,56,180,326
Metro Inc,MRU.TO,46,45,48,45,76,151
Westshore Terminals Investment Corp,WTE.TO,10,17,3,12,97,100
Russel Metals Inc,RUS.TO,45,33,33,84,246,555
Enghouse Systems Ltd,ENGH.TO,23,0,25,29,656,813
Freehold Royalties Ltd,FRU.TO,25,4,15,75,263,410
InterRent Real Estate Investment Trust,IIP_u.TO,45,37,37,62,216,452
Superior Plus Corp,SPB.TO,33,2,30,84,41,57
Atco Ltd,ACOx.TO,39,44,17,60,30,44
Saputo Inc,SAP.TO,66,81,69,46,78,375
Bombardier Inc,BBDb.TO,70,82,73,57,15,109
Golden Star Resources Ltd,GSC.TO,51,43,57,55,209,555
Reitmans Canada Ltd,RETa.V,26,11,44,14,226,266
Power Corporation of Canada,POW.TO,61,82,85,25,75,305
George Weston Ltd,WN.TO,23,4,24,37,118,151
Gabriel Resources Ltd,GBU.V,18,15,26,10,440,555
Dorel Industries Inc,DIIb.TO,31,19,44,27,45,71
Boralex Inc,BLX.TO,42,40,36,54,159,263
Transcontinental Inc,TCLa.TO,49,66,22,66,34,64
Allied Properties Real Estate Investment Trust,AP_u.TO,70,68,52,90,58,452
Crescent Point Energy Corp,CPG.TO,52,38,39,94,128,410
Alimentation Couche-Tard Inc,ATDb.TO,44,54,35,44,163,402
Exco Technologies Ltd,XTC.TO,16,9,11,36,212,231
Stantec Inc,STN.TO,79,84,84,64,14,224
Bonterra Energy Corp,BNE.TO,19,2,24,36,315,410
Uni-Select Inc,UNS.TO,34,31,28,49,160,231
Village Farms International Inc,VFF.TO,12,9,8,20,345,375
Badger Daylighting Ltd,BAD.TO,36,11,23,89,146,224
Novanta Inc,NOVT.O,60,71,76,27,30,120
Jaguar Mining Inc,JAG.TO,33,25,33,42,323,555
NFI Group Inc,NFI.TO,73,75,87,52,64,554
Birchcliff Energy Ltd,BIR.TO,33,35,21,52,206,410
Boardwalk Real Estate Investment Trust,BEI_u.TO,60,40,62,83,116,452
ATS Automation Tooling Systems Inc,ATA.TO,57,61,51,58,192,554
Intertape Polymer Group Inc,ITP.TO,48,50,27,83,35,64
Sherritt International Corp,S.TO,78,79,81,69,40,555
Brookfield Asset Management Inc,BAMa.TO,76,83,63,84,25,375
Cargojet Inc,CJT.TO,26,9,30,43,132,175
Candente Copper Corp,DNT.TO,32,25,34,39,329,555
Endeavour Silver Corp,EDR.TO,70,74,59,81,89,555
Ensign Energy Services Inc,ESI.TO,46,31,33,80,106,219
Maple Leaf Foods Inc,MFI.TO,62,58,65,61,104,375
Imax Corp,IMAX.K,34,5,31,48,147,256
AGF Management Ltd,AGFb.TO,52,23,56,58,140,375
Pan American Silver Corp,PAAS.TO,80,75,84,78,31,555
Eldorado Gold Corp,ELD.TO,77,71,83,76,43,555
Imperial Oil Ltd,IMO.TO,65,51,67,79,64,410
Transat AT Inc,TRZ.TO,52,61,44,57,106,322
Turquoise Hill Resources Ltd,TRQ.TO,44,32,43,64,253,555
RioCan Real Estate Investment Trust,REI_u.TO,69,77,67,62,64,452
Thomson Reuters Corp,TRI.TO,55,63,74,25,124,443
Mullen Group Ltd,MTL.TO,51,18,54,86,67,175
Atlantic Power Corp,AT,12,1,13,30,251,263
Nuvista Energy Ltd,NVA.TO,51,42,42,81,131,410
Baytex Energy Corp,BTE.TO,51,39,42,86,129,410
SmartCentres Real Estate Investment Trust,SRU_u.TO,29,36,34,16,346,452
Sun Life Financial Inc,SLF.TO,77,90,81,69,20,305
SNC-Lavalin Group Inc,SNC.TO,73,82,68,68,22,224
Teck Resources Ltd,TECK.K,81,85,95,52,23,555
Winpak Ltd,WPK.TO,35,29,34,44,50,64
CGI Inc,GIBa.TO,65,77,82,46,88,813
TransAlta Corp,TA.TO,60,75,49,47,80,263
Morguard Corp,MRC.TO,49,61,52,34,171,400
Emera Inc,EMA.TO,49,39,44,73,118,263
Empire Company Ltd,EMPa.TO,55,49,44,76,57,151
Magna International Inc,MG.TO,55,45,64,51,84,231
Suncor Energy Inc,SU.TO,72,76,70,72,33,410
Rogers Communications Inc,RCIb.TO,69,81,72,53,40,263
Interfor Corp,IFP.TO,56,50,49,77,24,74
Canadian Pacific Railway Ltd,CP.TO,84,78,95,79,2,175
Toromont Industries Ltd,TIH.TO,50,40,39,77,244,554
Quebecor Inc,QBRb.TO,40,21,31,71,132,263
Cascades Inc,CAS.TO,68,89,62,45,15,64
Leon's Furniture Ltd,LNF.TO,11,12,15,7,107,111
Agnico Eagle Mines Ltd,AEM.TO,72,63,79,72,74,555
Canadian Western Bank,CWB.TO,63,31,63,77,174,996
Martinrea International Inc,MRE.TO,48,26,52,72,115,231
West Fraser Timber Co Ltd,WFT.TO,75,78,61,88,6,56
H&R Real Estate Investment Trust,HR_u.TO,49,25,47,79,191,452
Husky Energy Inc,HSE.TO,54,66,60,24,120,410
Enerplus Corp,ERF.TO,54,44,46,80,122,410
Alpha Pro Tech Ltd,APT,32,0,14,71,191,329
TFI International Inc,TFII.TO,29,12,17,64,126,175
Seabridge Gold Inc,SEA.TO,23,27,19,25,389,555
Liminal BioSciences Inc,LMNL.O,17,0,35,11,490,538
Heroux Devtek Inc,HRX.TO,33,0,54,28,71,109
Colossus Minerals Inc,COLUF.PK,14,0,21,23,480,555
BlackBerry Ltd,BB.TO,70,69,78,63,52,813
Telus Corp,T.TO,80,82,80,79,12,263
Celestica Inc,CLS.TO,76,88,83,52,7,120
Cogeco Communications Inc,CCA.TO,83,76,92,75,5,256
Dream Office Real Estate Investment Trust,D_u.TO,66,74,64,58,85,452
CES Energy Solutions Corp,CEU.TO,26,14,19,50,170,219
E-L Financial Corp Ltd,ELF.TO,11,0,8,18,299,305
Fortis Inc,FTS.TO,79,76,73,93,19,263
Constellation Software Inc,CSU.TO,12,0,2,24,794,813
Dundee Precious Metals Inc,DPM.TO,64,59,69,63,127,555
Endeavour Mining Corp,EDV.TO,83,84,87,75,17,555
Colliers International Group Inc,CIGI.TO,50,45,39,66,168,400
Lions Gate Entertainment Corp,LGFa,38,0,37,53,128,256
VBI Vaccines Inc,VBIV.O,40,0,56,53,123,538
Ritchie Bros. Auctioneers Inc,RBA.TO,52,26,45,80,144,443
goeasy Ltd,GSY.TO,31,0,20,60,669,996
SSR Mining Inc,SSRM.O,52,63,53,34,203,555
Sunopta Inc,SOY.TO,35,37,23,53,251,375
Taseko Mines Ltd,TKO.TO,50,48,44,63,220,555
TransGlobe Energy Corp,TGL.TO,20,5,12,56,308,410
Tanzanian Gold Corp,TNX.TO,22,7,19,47,400,555
Corus Entertainment Inc,CJRb.TO,31,29,42,16,165,256
Brookfield Infrastructure Partners LP,BIP,48,54,46,42,27,61
Labrador Iron Ore Royalty Corp,LIF.TO,18,2,28,22,447,555
Onex Corp,ONEX.TO,28,5,35,29,288,375
IGM Financial Inc,IGM.TO,66,96,85,41,57,375
Shaw Communications Inc,SJRb.TO,46,46,43,52,106,263
Fairfax Financial Holdings Ltd,FFH.TO,26,6,32,27,243,305
Innergex Renewable Energy Inc,INE.TO,65,72,62,55,62,263
Major Drilling Group International Inc,MDI.TO,29,2,21,82,342,555
MAG Silver Corp,MAG.TO,44,7,63,67,254,555
Wajax Corp,WJX.TO,49,41,41,67,258,554
Richelieu Hardware Ltd,RCH.TO,26,33,13,39,123,157
Western Forest Products Inc,WEF.TO,48,27,51,85,38,74
Sierra Wireless Inc,SWIR.O,60,67,63,52,34,124
Lassonde Industries Inc,LASa.TO,9,12,9,3,360,375
Computer Modelling Group Ltd,CMG.TO,38,13,33,49,415,813
Chorus Aviation Inc,CHR.TO,51,26,56,71,57,114
AutoCanada Inc,ACQ.TO,30,0,29,47,215,266
Centerra Gold Inc,CG.TO,68,70,73,55,98,555
Kinross Gold Corp,K.TO,77,68,86,75,42,555
First Majestic Silver Corp,FR.TO,58,55,52,71,163,555
NovaGold Resources Inc,NG,46,26,47,75,244,555
Pason Systems Inc,PSI.TO,30,16,28,48,152,219
Trican Well Service Ltd,TCW.TO,37,31,39,40,130,219
Northland Power Inc,NPI.TO,56,57,43,72,94,263
First Quantum Minerals Ltd,FM.TO,73,73,63,89,64,555
Lululemon Athletica Inc,LULU.O,47,51,35,66,58,118
Westport Fuel Systems Inc,WPRT.TO,57,58,51,67,75,231
Northern Dynasty Minerals Ltd,NDM.TO,21,13,20,35,406,555
Energy Fuels Inc,EFR.TO,56,43,45,84,4,15
Mercator Minerals Ltd,MLKKF.PK,5,0,7,8,548,555
Canadian Apartment Properties Real Estate Investment Trust,CAR_u.TO,71,62,73,81,50,452
Richards Packaging Income Fund,RPI_u.TO,7,0,5,21,64,64
Battle North Gold Corp,BNAU.TO,11,0,15,21,505,555
Lundin Gold Inc,LUG.TO,57,59,66,39,180,555
ACE Aviation Holdings Inc,ACEh.V,17,2,27,18,105,114
Keyera Corp,KEY.TO,57,62,41,75,61,219
Manulife Financial Corp,MFC.TO,72,73,74,70,34,305
Domtar Corp,UFS,74,75,63,86,11,74
Eastern Platinum Ltd,ELR.TO,19,10,22,29,431,555
Alcanna Inc,CLIQ.TO,17,0,23,23,130,151
Galiano Gold Inc,GAU.TO,50,39,58,54,217,555
Wesdome Gold Mines Ltd,WDO.TO,55,55,35,85,190,555
Cominar REIT,CUF_u.TO,56,29,58,86,143,452
Fennec Pharmaceuticals Inc,FENC.O,26,0,21,49,323,538
Perpetual Energy Inc,PMT.TO,17,13,24,12,328,410
China Gold International Resources Corp Ltd,CGG.TO,60,78,55,41,156,555
Toronto-Dominion Bank,TD.TO,75,84,84,58,84,996
National Bank of Canada,NA.TO,70,86,88,38,121,996
Artis Real Estate Investment Trust,AX_u.TO,31,3,43,52,330,452
TC Energy Corp,TRP.TO,61,79,48,59,46,219
Intact Financial Corp,IFC.TO,54,33,58,57,113,305
Wheaton Precious Metals Corp,WPM.TO,56,51,58,58,185,555
Sears Canada Inc,SRSCQ.PK,66,83,76,42,24,111
Premier Gold Mines Ltd,PG.TO,11,0,19,12,510,555
Chartwell Retirement Residences,CSH_u.TO,65,66,51,81,26,181
WildBrain Ltd,WILD.TO,35,0,31,53,141,256
SouthGobi Resources Ltd,SGQ.TO,58,67,59,45,16,55
Inter Pipeline Ltd,IPL.TO,53,45,42,77,75,219
Franco-Nevada Corp,FNV.TO,63,57,63,71,136,555
UEX Corp,UEX.TO,28,10,21,59,13,15
Calfrac Well Services Ltd,CFW.TO,25,25,24,27,172,219
B2Gold Corp,BTO.TO,80,72,85,84,27,555
Capstone Mining Corp,CS.TO,52,56,37,70,206,555
Denison Mines Corp,DML.TO,53,49,64,50,5,15
Silvercorp Metals Inc,SVM.TO,61,68,59,56,145,555
Fortuna Silver Mines Inc,FVI.TO,69,71,83,42,95,555
Air Canada,AC.TO,65,55,59,83,25,114
Nagacorp Ltd,3918.HK,85,85,85,85,6,322
Herbalife Nutrition Ltd,HLF,45,13,58,59,199,375
Consolidated Water Co Ltd,CWCO.O,42,16,47,78,23,38
Cap SA,CAP.SN,54,60,68,23,192,555
Masisa SA,MASISA.SN,49,60,26,57,37,74
Compania Cervecerias Unidas SA,CCU.SN,56,60,60,45,43,112
AES Gener SA,AESGENER.SN,62,51,69,74,54,239
Compania Sud Americana de Vapores SA,VAPORES.SN,21,3,35,24,153,175
Empresa Nacional de Telecomunicaciones SA,ENTEL.SN,55,33,70,42,83,263
Empresas Copec SA,COPEC.SN,57,70,59,33,102,410
Empresas CMPC SA,CMPC.SN,72,74,65,79,13,74
Colbun SA,COLBUN.SN,78,82,66,86,23,263
Enel Generacion Chile SA,ENELGXCH.SN,50,58,65,17,115,263
Enel Americas SA,ENELAM.SN,83,84,91,70,9,263
Antarchile SA,ANTARCHILE.SN,8,1,14,9,396,410
Parque Arauco SA,PARAUCO.SN,63,73,87,25,85,400
Sociedad Quimica y Minera de Chile SA,SQMA.SN,72,66,76,77,47,326
Concha y Toro Winery Inc,CONCHATORO.SN,75,83,70,77,13,112
SalfaCorp SA,SALFACORP.SN,29,25,45,12,173,224
Besalco SA,BESALCO.SN,25,13,31,34,184,224
Grupo Security SA,SECURITY.SN,53,3,57,68,268,996
ENGIE Energia Chile SA,ECL.SN,49,38,63,51,116,263
Embotelladora Andina SA,ANDINAB.SN,80,74,85,77,6,112
Quinenco SA,QUINENCO.SN,18,15,6,42,327,410
Falabella SA,FALABELLA.SN,76,71,90,66,7,111
Aguas Andinas SA,AGUASA.SN,67,66,79,55,6,38
Banco Santander-Chile,BSANTANDER.SN,85,81,87,85,19,996
LATAM Airlines Group SA,LTM.SN,72,60,79,72,13,114
Ripley Corp SA,RIPLEY.SN,15,0,3,41,103,111
Coca Cola Embonor SA,EMBONORB.SN,43,51,50,18,60,112
Itau Corpbanca,ITAUCORP.SN,50,14,50,64,326,996
Empresas Gasco SA,GASCO.SN,38,28,33,59,37,57
Banco de Credito e Inversiones,BCI.SN,52,57,67,30,288,996
Sigdo Koppers SA,SK.SN,16,16,17,13,53,61
Forus SA,FORUS.SN,13,7,21,8,259,266
Cencosud SA,CENCOSUD.SN,55,44,63,49,56,151
Inversiones Aguas Metropolitanas SA,IAM.SN,23,11,21,44,31,38
Banco de Chile,CHILE.SN,53,42,65,40,279,996
Sonda SA,SONDA.SN,34,34,45,24,487,813
Empresas la Polar SA,NUEVAPOLAR.SN,2,0,2,4,111,111
Sociedad de Inversiones Oro Blanco SA,OROBLANCO.SN,3,0,4,6,53,54
Shanghai Pudong Development Bank Co Ltd,600000.SS,46,68,42,43,391,996
Hubei Energy Group Co Ltd,000883.SZ,26,18,28,38,230,263
Yonyou Network Technology Co Ltd,600588.SS,42,27,53,37,349,813
SDIC Capital Co Ltd,600061.SS,39,4,19,65,222,375
Sichuan Languang Development Co Ltd,600466.SS,46,32,73,29,206,400
Haier Smart Home Co Ltd,600690.SS,55,85,48,25,24,71
China Jinmao Holdings Group Ltd,0817.HK,61,68,48,68,98,400
AVIC Capital Co Ltd,600705.SS,49,76,35,58,337,996
Suzhou Gold Mantis Construction Decoration Co Ltd,002081.SZ,30,10,18,75,167,224
China Construction Bank Corp,601939.SS,64,60,56,77,165,996
Minth Group Ltd,0425.HK,55,54,39,84,82,231
Bank of China Ltd,601988.SS,64,58,64,67,166,996
China Aerospace Times Electronics Co Ltd,600879.SS,33,6,28,60,70,109
China Greatwall Technology Group Co Ltd,000066.SZ,23,10,25,30,85,110
Aecc Aero Engine Control Co Ltd,000738.SZ,21,19,12,34,92,109
China Medical System Holdings Ltd,0867.HK,65,76,48,83,66,376
NanJi E-Commerce Co Ltd,002127.SZ,42,0,12,80,354,813
Tbea Co Ltd,600089.SS,34,18,13,82,379,554
Sinopec Shanghai Petrochemical Co Ltd,600688.SS,62,84,41,67,79,410
Meinian Onehealth Healthcare Holdings Co Ltd,002044.SZ,37,35,32,44,106,181
Chengdu Xingrong Environment Co Ltd,000598.SZ,52,51,45,61,14,38
SDIC Power Holdings Co Ltd,600886.SS,35,41,22,41,195,263
Industrial and Commercial Bank of China Ltd,601398.SS,62,48,58,72,190,996
Apeloa Pharmaceutical Co Ltd,000739.SZ,31,19,20,56,208,376
Shanghai Fosun Pharmaceutical Group Co Ltd,600196.SS,72,68,82,60,36,376
Youngor Group Co Ltd,600177.SS,27,2,7,81,98,118
Hangzhou Silan Microelectronics Co Ltd,600460.SS,17,27,13,11,208,232
Aisino Corp,600271.SS,44,45,20,85,2,5
Zhejiang Longsheng Group Co Ltd,600352.SS,18,23,8,26,291,326
Xinjiang Zhongtai Chemical Co Ltd,002092.SZ,35,18,20,91,209,326
China Merchants Bank Co Ltd,600036.SS,51,56,65,29,311,996
Kaile Science and Technology Co Ltd Hubei,600260.SS,22,1,9,47,104,124
Shanghai Yuyuan Tourist Mart Group Co Ltd,600655.SS,38,40,54,18,172,266
China Vanke Co Ltd,000002.SZ,60,88,55,37,106,400
China Shenhua Energy Co Ltd,601088.SS,73,91,73,47,6,55
Greenland Holdings Corp Ltd,600606.SS,12,0,10,30,216,224
Shanghai International Airport Co Ltd,600009.SS,21,10,21,32,91,100
Hongfa Technology Co Ltd,600885.SS,24,9,14,57,98,120
Tianjin Zhonghuan Semiconductor Ltd,002129.SZ,51,56,45,51,26,71
Holitech Technology Co Ltd,002217.SZ,22,23,14,28,103,120
Hengli Petrochemical Co Ltd,600346.SS,29,17,12,79,239,326
Bank of Nanjing Co Ltd,601009.SS,37,13,22,67,552,996
CSG Holding Co Ltd,000012.SZ,29,44,11,32,240,326
CITIC Securities Co Ltd,600030.SS,51,61,32,64,146,375
Shanghai Jahwa United Co Ltd,600315.SS,48,47,34,77,41,94
China Spacesat Co Ltd,600118.SS,26,1,11,66,83,109
Grandjoy Holdings Group Co Ltd,000031.SZ,42,48,43,36,214,400
Guocheng Mining Co Ltd,000688.SZ,22,16,6,56,399,555
Hubei Biocause Pharmaceutical Co Ltd,000627.SZ,47,6,34,75,141,305
Zhejiang Jiahua Energy Chemical Industry Co Ltd,600273.SS,31,36,15,51,228,326
Xiamen C&D Inc,600153.SS,35,58,21,35,12,18
Transfar Zhilian Co Ltd,002010.SZ,7,17,2,0,173,175
Inner Mongolia BaoTou Steel Union Co Ltd,600010.SS,37,36,18,69,300,555
Guangdong Hec Technology Holding Co Ltd,600673.SS,30,33,18,45,340,555
Shanghai AJ Group Co Ltd,600643.SS,9,0,13,8,365,375
China Enterprise Co Ltd,600675.SS,50,57,56,38,163,400
Livzon Pharmaceutical Group Inc,000513.SZ,58,62,63,46,91,376
Sichuan Chuantou Energy Co Ltd,600674.SS,33,19,18,74,201,263
China National Accord Medicines Corp Ltd,000028.SZ,30,28,29,32,216,376
Tsingtao Brewery Co Ltd,600600.SS,52,49,36,84,47,112
Yanlord Land Group Ltd,YNLG.SI,34,44,40,17,264,400
Shanghai Waigaoqiao Free Trade Zone Group Co Ltd,600648.SS,46,47,48,43,203,400
Wanhua Chemical Group Co Ltd,600309.SS,44,50,53,18,170,326
Shanghai Lujiazui Finance & Trade Zone Development Co Ltd,600663.SS,37,34,41,36,242,400
3SBio Inc,1530.HK,67,64,65,73,59,376
China Avionics Systems Co Ltd,600372.SS,20,2,16,39,98,109
Jiangsu Zhongnan Construction Group Co Ltd,000961.SZ,22,8,14,45,338,400
Bank of Ningbo Co Ltd,002142.SZ,51,47,34,76,301,996
China Oilfield Services Ltd,601808.SS,51,66,39,52,81,219
Zhejiang Supor Co Ltd,002032.SZ,57,55,58,58,21,71
Tong Ren Tang Technologies Co Ltd,1666.HK,54,45,43,78,103,376
Greentown China Holdings Ltd,3900.HK,47,66,45,31,190,400
Shanxi Meijin Energy Co Ltd,000723.SZ,24,22,4,58,380,555
HUAYU Automotive Systems Co Ltd,600741.SS,28,23,25,39,182,231
Yunnan Baiyao Group Co Ltd,000538.SZ,42,55,43,29,163,376
China Gezhouba Group Co Ltd,600068.SS,43,43,19,76,116,224
AVIC Electromechanical Systems Co Ltd,002013.SZ,21,13,8,44,96,109
China Grand Automotive Services Group Co Ltd,600297.SS,23,18,11,52,194,231
Hua Xia Bank Co Ltd,600015.SS,42,29,34,58,461,996
Kweichow Moutai Co Ltd,600519.SS,25,31,14,39,87,112
Yuan Longping High-tech Agriculture Co Ltd,000998.SZ,11,5,11,18,349,375
Inner Mongolia MengDian HuaNeng Thermal Power Corp Ltd,600863.SS,28,21,3,72,226,263
China International Marine Containers Group Co Ltd,000039.SZ,52,39,43,78,236,554
Huaxin Cement Co Ltd,600801.SS,33,23,11,81,63,85
Shanghai Tunnel Engineering Co Ltd,600820.SS,43,44,23,71,114,224
XCMG Construction Machinery Co Ltd,000425.SZ,28,29,9,51,437,554
Tech-bank Food Co Ltd,002124.SZ,34,37,38,21,255,375
Guangzhou Yuexiu Financial Holdings Group Co Ltd,000987.SZ,26,30,29,22,298,375
Hla Corp Ltd,600398.SS,23,2,16,48,103,118
Inspur Electronic Information Industry Co Ltd,000977.SZ,30,35,30,27,75,110
China Meheco Group Co Ltd,600056.SS,23,18,13,41,276,376
Shanghai Baosight Software Co Ltd,600845.SS,46,43,12,77,280,813
Anhui Expressway Co Ltd,600012.SS,36,44,28,38,76,100
Guangshen Railway Co Ltd,601333.SS,39,22,36,62,73,114
China Evergrande Group,3333.HK,47,59,52,30,192,400
Shanghai Jin Jiang International Hotels Co Ltd,600754.SS,45,16,49,65,146,322
Weifu High-Technology Group Co Ltd,000581.SZ,23,23,8,49,196,231
Anhui Gujing Distillery Co Ltd,000596.SZ,15,16,12,20,99,112
Tongling Nonferrous Metals Group Co Ltd,000630.SZ,33,25,11,82,319,555
Chongqing Changan Automobile Co Ltd,000625.SZ,38,36,14,82,151,231
Shenzhen Airport Co Ltd,000089.SZ,46,36,45,58,54,100
Sunny Optical Technology Group Co Ltd,2382.HK,76,75,74,80,6,120
Shanghai Electric Group Co Ltd,601727.SS,70,80,72,54,77,554
Huagong Tech Co Ltd,000988.SZ,40,34,18,72,70,120
GF Securities Co Ltd,000776.SZ,67,83,50,77,51,375
Bosideng International Holdings Ltd,3998.HK,57,57,55,60,41,118
Weichai Power Co Ltd,000338.SZ,58,72,51,49,72,231
Offshore Oil Engineering Co Ltd,600583.SS,18,9,12,38,204,224
Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,600332.SS,67,72,52,86,60,376
Datang International Power Generation Co Ltd,601991.SS,39,34,24,66,174,263
Hidili Industry International Development Ltd,1393.HK,36,13,20,81,29,55
Hainan Airlines Holding Co Ltd,600221.SS,30,11,19,69,85,114
Inner Mongolia Yili Industrial Group Co Ltd,600887.SS,69,77,55,85,58,375
Shenzhen Expressway Co Ltd,600548.SS,65,81,40,87,20,100
Inner Mongolia Yitai Coal Co Ltd,900948.SS,77,81,55,92,4,55
China Eastern Airlines Corp Ltd,600115.SS,59,47,61,71,33,114
Jiangxi Copper Co Ltd,600362.SS,64,71,47,83,124,555
Angang Steel Co Ltd,000898.SZ,57,62,36,85,169,555
China Southern Airlines Co Ltd,600029.SS,66,69,60,72,23,114
Jilin Aodong Pharmaceutical Group Co Ltd,000623.SZ,41,32,24,73,168,376
FangDa Carbon New Material Co Ltd,600516.SS,29,0,12,86,426,554
Jiangsu Hengrui Medicine Co Ltd,600276.SS,24,19,22,29,267,376
Zhejiang Expressway Co Ltd,0576.HK,61,84,43,66,27,100
Shanxi LuAn Environmental Energy Dev Co Ltd,601699.SS,29,27,17,44,39,55
Anhui Conch Cement Co Ltd,600585.SS,55,52,51,65,29,85
